Trial,Method,Distance,Size,Direction,Repetition,Time,ErrorRate
1,Ray,0.5,0.05,Center,1,6.895,0.00
2,Ray,1,0.05,Left,1,1.531,0.00
3,Ray,0.5,0.15,Right,1,0.919,0.00
4,Ray,1,0.15,Up,1,0.682,0.00
5,Ray,0.5,0.05,Center,2,0.502,0.00
6,Ray,1,0.05,Left,2,2.437,0.00
7,Ray,0.5,0.15,Right,2,0.697,0.00
8,Ray,1,0.15,Up,2,0.584,0.00
9,Pinch,0.5,0.05,Center,1,0.515,0.00
10,Pinch,1,0.05,Left,1,11.293,0.00
11,Pinch,0.5,0.15,Right,1,0.486,0.00
12,Pinch,1,0.15,Up,1,0.446,0.00
13,Pinch,0.5,0.05,Center,2,0.403,0.00
14,Pinch,1,0.05,Left,2,0.989,0.00
15,Pinch,0.5,0.15,Right,2,0.488,0.00
16,Pinch,1,0.15,Up,2,0.460,0.00
